"Field name","Description","Field Type","Data Type","Examples"
"ReferenceItem","Reference items are substances with known activity, used as basis for comparison with the test material.<br><br>Ref: https://www.oecd.org/en/topics/assessment-of-chemicals/harmonised-templates-intermediate-effects.html<br><br>Detail the reference item, if used","Conditionally required","Text",NA
"PositiveControl","Common name of the compound that is used as a positive control in the assay. If positive control is not used, mention ‘not used’.<br><br>Definition: Separate part of the test system treated with an item for which it is known that the test system should respond. The positive control provides evidence that the test system is responsive under the actual conditions of the assay. The positive control is endpoint specific to the test system (ref: GIVIMP, Second Edition)","Mandatory","Text","Sodium Dodecyl Sulphate, Lipopolysaccharide"
"PositiveControlConcentration","The concentration of the compound used as a positive control","Conditionally required","Numeric",NA
"PositiveControlUnit","The measurement unit of concentration of the compound used as a positive control, in mM or mg/L","Conditionally required","Text",NA
"NegativeControlType","Definition: Separate part of a test system treated with an item for which it is known that the test system should not respond; the negative control provides evidence that the test system is not responsive under the actual conditions of the assay (ref: GIVIMP, Second Edition)<br><br>Solvent/vehicle control (consist of solvent or vehicle alone, without test item (test material), and otherwise treated in the same way as the treatment groups), untreated control (consist of culture medium without solvent / vehicle or test item and otherwise treated in the same way as the treatment groups), true negative control (items (e.g. chemicals) with known lack of activity). Ref: OECD 201<br><br>If any type of negative control is not used, mention ‘not used’","Mandatory","Text","Select from dropdown"
"NegativeControl","Describe the negative control.<br><br>.","Conditionally required","Text",NA
"NegativeControlConcentration","The concentration of the compound used as a negative control","Conditionally required","Numeric",NA
"NegativeControlUnit","The measurement unit of concentration of the compound used as a negative control, in mM or mg/L","Conditionally required","Text",NA
"NumberOfBiologicalReplicates","The number of biological replicates.<br><br>Biological replicates are parallel measurements of biologically distinct samples that capture random biological variation, which may itself be a subject of study or a noise source.<br><br>Ref: Blainey, P., Krzywinski, M., Altman, N., 2014. Replication. Nature Methods 11, 879–880. https://doi.org/10.1038/nmeth.3091","Recommended","Integer",NA
"NumberOfTechnicalReplicatesPerCondition","The number of technical replicates per concentration (single, duplicate, triplicate)<br><br>Technical replicates are repeated measurements of the same sample that represent independent measures of the random noise associated with protocols or equipment.<br><br>Ref: Blainey, P., Krzywinski, M., Altman, N., 2014. Replication. Nature Methods 11, 879–880. https://doi.org/10.1038/nmeth.3091","Recommended","Integer",NA
"DataAcquisition","The software/platform, if any, used for data acquisition","Conditionally required","Text","MassHunter Workstation (version B.07.00, Agilent);BD FACSDiva™ Software"
"RawDataProcessingSteps","The steps for processing raw data.<br><br>Data processing workflow can be created and submitted in https://workflowhub.eu","Mandatory","Text","Normalisation to negative/positive/vehicle control/ blank corrections, use of calibration curve, subtraction of control values, calculation of averages, standard deviations. Mention the statistical methods used to derive the parameters to be reported."
"SoftwareForDataProcessing","The name of the software (and version) for processing raw data.","Mandatory","Text","If a software is not used, mention “not used”<br><br>Microsoft® Excel® for Microsoft 365 MSO (Version 2512 Build 16.0.19530.20038) 64-bit, GraphPadPrism (GraphPad Software, La Jolla, CA, USA)"
"SoftwareSettingsForDataProcessing","Configuration and parameters defined within a software tool (other than Microsoft Excel) to analyse raw experimental data.","Conditionally required","Text","Format for raw data (fluorescence intensity, absorbance values, etc.) à thresholds/cutoff values for detecting significant changes à statistical tests à etc."
"OutlierHandling","Explanation of how outliers are handled, i.e., what (statistical) method has been used to exclude values.","Recommended","Text",NA
"SoftwareToDetermineEC50","Name of the software used to determine half maximal inhibition or effect concentration (if used)","Conditionally required","text","GraphPad Prism, ProTox-3.0"
"Researcher","The role a person has of being a researcher involved in a research investigation, for example by conducting experiments, collecting and analysing data, or undertaking formal study (ref: http://purl.org/spar/scoro/researcher)<br><br>In addition to credit and provenance, it helps in quality control and data tracking. Provide full name of the person, preferably as registered in ORCID registry, or name is scientific publications if any, or professional name most widely used.","Mandatory","text","Jane Doe"
"ResearcherORCID","ORCID ID of the person responsible for conducting the research and investigation process, specifically performing the experiments, or data/evidence collection, or the person who created the resource. In addition to credit and provenance, it helps in quality control and data tracking.","Mandatory","String/integer","0000-0002-6125-0555"
"DescriptionOfDataGeneration","Explain the datasets that would be generated from the studies<br><br>Dataset: Organised collection of data or objects in a computational format, that are generated or collected by researchers in the course of their investigations, regardless of their form or method, that form the object on which researchers test a hypothesis. This includes the full range of data: raw, unprocessed datasets, proprietary generated and processed data and secondary data obtained from third parties. Ref: https://terms.codata.org/rdmt/dataset<br><br>This question is also in PARC DSW Data Management Plan tool.","Mandatory","Text","Data related to relative (fold change) in hormone levels at each concentration, normalised metabolite ratio peak data per sample"
"SummaryDatafileReference","Name of the file which contains measured biological response results.","Recommended","String","Stringsummary.csv; stringsummary.xlsx"
"FileFormat","The format in which the file containing the data is available.<br><br>Refer to the following resources to detail the file format:<br><br>https://www.iana.org/assignments/media-types/media-types.xml<br><br>https://rdmkit.elixir-europe.org/data_organisation.html#:~:text=that%20generated%20it.-,Solutions,-The%20best%20file","Mandatory","String",NA
"Filestoragelocation","The location where the file is stored","Mandatory","String","University repository, Research Data Storage options provided by institutions, SharePoint, OneDrive."
